PR,PR_API,ChatGPT_Link,Link_Status
https://github.com/Rhetos/Rhetos/pull/479,https://api.github.com/repos/Rhetos/Rhetos/pulls/479,https://chat.openai.com/share/878eea0f-7dce-401f-8aad-c2a5eb214f0a,404
https://github.com/Regression-Games/RGUnityBots/pull/100,https://api.github.com/repos/Regression-Games/RGUnityBots/pulls/100,https://chat.openai.com/share/1b7c364c-9a91-4ac1-ba2e-f14e1560d2ef,404
https://github.com/faker-js/faker/pull/2658,https://api.github.com/repos/faker-js/faker/pulls/2658,https://chat.openai.com/share/bbb3bb28-cb2d-436e-beb8-af36537c0897 ,200
https://github.com/VOICEVOX/voicevox/pull/1790,https://api.github.com/repos/VOICEVOX/voicevox/pulls/1790,https://chat.openai.com/share/3640a35f-056b-4be6-912b-321796408267,200
https://github.com/VOICEVOX/voicevox/pull/1621,https://api.github.com/repos/VOICEVOX/voicevox/pulls/1621,https://chat.openai.com/share/85e06c91-586d-4872-835e-1ef91a69e56f,200
https://github.com/rapidsai/cuspatial/pull/1295,https://api.github.com/repos/rapidsai/cuspatial/pulls/1295, https://chat.openai.com/share/43a1b380-e356-4b5e-8c87-08b07003435b,200
https://github.com/uchicago-cs/chigame/pull/265,https://api.github.com/repos/uchicago-cs/chigame/pulls/265,https://chat.openai.com/share/e3e3871f-4acd-4959-94a3-d260c84f8ede,200
https://github.com/localstack/localstack-blog.github.io/pull/10,https://api.github.com/repos/localstack/localstack-blog.github.io/pulls/10,https://chat.openai.com/share/c591ffcf-bd80-4de2-a6b1-ac5cf13d2903,404
https://github.com/jwjacobson/jazz_repertoire/pull/65,https://api.github.com/repos/jwjacobson/jazz_repertoire/pulls/65,https://chat.openai.com/share/8242fb00-dd2a-4891-8318-935b7fd1d136,200
https://github.com/okp4/docs/pull/364,https://api.github.com/repos/okp4/docs/pulls/364,https://chat.openai.com/g/g-zUzcYmVbX-okp4-druid-oracle-beta,404
https://github.com/nishiki-tech/nishiki-frontend/pull/223,https://api.github.com/repos/nishiki-tech/nishiki-frontend/pulls/223,https://chat.openai.com/share/6c5cfec0-e801-4ab9-87e0-28810deebeb1,200
https://github.com/nishiki-tech/nishiki-frontend/pull/184,https://api.github.com/repos/nishiki-tech/nishiki-frontend/pulls/184,https://chat.openai.com/share/a85682c7-e98b-4ab9-9f84-a0a0edc9d88d,200
https://github.com/marqo-ai/marqo/pull/670,https://api.github.com/repos/marqo-ai/marqo/pulls/670,https://chat.openai.com/share/d6c43184-1ad5-49b5-b209-e659bdb68c33,200
https://github.com/bitcoin/bitcoin/pull/28846,https://api.github.com/repos/bitcoin/bitcoin/pulls/28846,https://chat.openai.com/share/6d5445a7-14ac-493b-a41a-d2b23899caa6,200
https://github.com/VyProductions/SeniorDesign/pull/57,https://api.github.com/repos/VyProductions/SeniorDesign/pulls/57,https://chat.openai.com/share/968d797a-0ef8-4644-91b9-70d1a3d0c016,200
https://github.com/VyProductions/SeniorDesign/pull/53,https://api.github.com/repos/VyProductions/SeniorDesign/pulls/53,https://chat.openai.com/share/ec50f5d6-714c-4b9e-ac60-d64ecb656c3b,200
https://github.com/VyProductions/SeniorDesign/pull/56,https://api.github.com/repos/VyProductions/SeniorDesign/pulls/56,https://chat.openai.com/share/37465814-748e-4964-9580-5c66150a501e,404
https://github.com/VyProductions/SeniorDesign/pull/51,https://api.github.com/repos/VyProductions/SeniorDesign/pulls/51,https://chat.openai.com/share/dc460461-5653-44b6-b996-3e00ace11f98,200
https://github.com/dragonflydb/dragonfly/pull/2153,https://api.github.com/repos/dragonflydb/dragonfly/pulls/2153,https://chat.openai.com/share/1cbf6e42-6800-4ead-9e07-171c145d3b5b,200
https://github.com/PolicyEngine/policyengine-us/pull/3258,https://api.github.com/repos/PolicyEngine/policyengine-us/pulls/3258,https://chat.openai.com/share/46ad69dc-4ce7-4572-88e7-d60dc69f6715,200
https://github.com/joke2k/faker/pull/1988,https://api.github.com/repos/joke2k/faker/pulls/1988,https://chat.openai.com/share/1f311605-ce61-4b5b-b702-ba8c41e6833a,200
https://github.com/zauberzeug/nicegui/pull/2272,https://api.github.com/repos/zauberzeug/nicegui/pulls/2272,https://chat.openai.com/share/266efdfa-5002-4670-abc5-e9941e437cf0,200
https://github.com/BolasLien/enjoyment-luxury-hotel/pull/9,https://api.github.com/repos/BolasLien/enjoyment-luxury-hotel/pulls/9,https://chat.openai.com/share/e416e597-5bf7-428e-880b-ecaa43a80ad3,200
https://github.com/exchange-wata/next.js14-tailwindcss-udemy-blog/pull/6,https://api.github.com/repos/exchange-wata/next.js14-tailwindcss-udemy-blog/pulls/6,https://chat.openai.com/share/761f9bcf-3722-4b33-b7c5-37196253e07a,200
https://github.com/equinix/metal-cli/pull/405,https://api.github.com/repos/equinix/metal-cli/pulls/405,https://chat.openai.com/share/4d97fa93-08b7-4e4d-8a7c-2343394a6ffe,200
https://github.com/langroid/langroid/pull/301,https://api.github.com/repos/langroid/langroid/pulls/301,https://chat.openai.com/share/d7dbe641-4d5c-48db-8887-4260b04fa18e,200
https://github.com/empirical-org/Empirical-Core/pull/11308,https://api.github.com/repos/empirical-org/Empirical-Core/pulls/11308,https://chat.openai.com/c/97307d69-7fcd-4b56-9c38-f8e884c5be4d,404
https://github.com/robotology/icub-models-generator/pull/252,https://api.github.com/repos/robotology/icub-models-generator/pulls/252,https://chat.openai.com/share/69784828-87f9-4a53-b805-55d02d66384b,200
https://github.com/Opetushallitus/ludos/pull/102,https://api.github.com/repos/Opetushallitus/ludos/pulls/102,https://chat.openai.com/share/bdfcb857-08a3-4ff9-b610-b9bffcff6db8,200
https://github.com/skypilot-org/skypilot/pull/3081,https://api.github.com/repos/skypilot-org/skypilot/pulls/3081,https://chat.openai.com/share/1a5fb45b-2e92-406f-83ec-89b5501be830,200
https://github.com/deso-protocol/core/pull/875,https://api.github.com/repos/deso-protocol/core/pulls/875,https://chat.openai.com/share/f8aade6f-7822-484a-9057-f656f7429669,200
https://github.com/hackforla/CivicTechJobs/pull/477,https://api.github.com/repos/hackforla/CivicTechJobs/pulls/477,https://chat.openai.com/share/b9a11492-1029-401c-a93e-05fbef0e7295,200
https://github.com/camel-ai/camel/pull/400,https://api.github.com/repos/camel-ai/camel/pulls/400,https://chat.openai.com/share/14b5a1fb-50e5-4335-9eee-565ce83661e5,200
https://github.com/timjuic/paypro-android/pull/8,https://api.github.com/repos/timjuic/paypro-android/pulls/8,https://chat.openai.com/share/d94fa9ba-11a5-4c40-bae8-067e01039e30,200
https://github.com/star82620/join-joy/pull/71,https://api.github.com/repos/star82620/join-joy/pulls/71,https://chat.openai.com/share/2c928a8a-d6eb-4914-ad46-0c35e75dd981,404
https://github.com/primer-io/primer-sdk-ios/pull/723,https://api.github.com/repos/primer-io/primer-sdk-ios/pulls/723,https://chat.openai.com/share/3ff353ef-09a3-46b0-b4ea-1a01aa097b82,200
https://github.com/openwallet-foundation/credo-ts/pull/1754,https://api.github.com/repos/openwallet-foundation/credo-ts/pulls/1754,https://chat.openai.com/share/59212a33-041e-4542-956b-bdb7fd65de30,200
https://github.com/pass-culture/pass-culture-main/pull/9227,https://api.github.com/repos/pass-culture/pass-culture-main/pulls/9227,https://chat.openai.com/share/7f809ea3-cfcf-4ac2-80b9-1197feff7f1b,200
https://github.com/MartinsOnuoha/what-should-i-design/pull/8,https://api.github.com/repos/MartinsOnuoha/what-should-i-design/pulls/8,https://chat.openai.com/share/7f809ea3-cfcf-4ac2-80b9-1197feff7f1b,200
https://github.com/digitalbitbox/bitbox-wallet-app/pull/2415,https://api.github.com/repos/digitalbitbox/bitbox-wallet-app/pulls/2415,https://chat.openai.com/share/4c3f44d9-5a73-4605-abfe-a1e5daf5e21c,200
https://github.com/digitalbitbox/bitbox-wallet-app/pull/2368,https://api.github.com/repos/digitalbitbox/bitbox-wallet-app/pulls/2368,https://chat.openai.com/share/f7b28f24-d71f-4502-9fa9-0b79b0e7cc20,200
https://github.com/etalab/annuaire-entreprises-site/pull/796,https://api.github.com/repos/etalab/annuaire-entreprises-site/pulls/796,https://chat.openai.com/share/caad291b-920c-4e2e-bcc1-04c191f2d587,200
https://github.com/gradle/gradle/pull/26792,https://api.github.com/repos/gradle/gradle/pulls/26792,https://chat.openai.com/share/2901f5fc-81a4-4c6c-a3d3-604e19e1b90f,200
